run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0
71,2025-05-29 01:30:00,2025-08-18 03:10:00,2025-08-18 03:20:00,2025-08-19 03:10:00,11664,144,0.5456802759230158,0.6979567340439361,0.9606879527085858,31.370176248623505,63.67014006745271,0.9532972329614225,0.029404538378699892,0.05264849538959388,0.9477456793341782
72,2025-05-29 01:30:00,2025-08-19 03:10:00,2025-08-19 03:20:00,2025-08-20 03:10:00,11808,144,0.37583570826089585,0.4599590217656724,0.9862518956371954,20.369244799319265,37.94004002491543,0.9830871253579418,0.01847230210509581,0.03516147058609752,0.9768151455845643
73,2025-05-29 01:30:00,2025-08-20 03:10:00,2025-08-20 03:20:00,2025-08-21 03:10:00,11952,144,0.44745506850239547,0.5711945515254574,0.9807734311173762,22.98750966210703,43.6919143640242,0.9767777616815462,0.01980835346323727,0.03731196087839716,0.972988829828993
74,2025-05-29 01:30:00,2025-08-21 03:10:00,2025-08-21 03:20:00,2025-08-22 03:10:00,12096,144,0.37080656099152876,0.4659076815341833,0.9844419273827174,45.00878419439349,103.25425655177753,0.8581599366096117,0.03511156477213843,0.07995265264705333,0.8631485041989877
75,2025-05-29 01:30:00,2025-08-22 03:10:00,2025-08-22 03:20:00,2025-08-23 03:10:00,12240,144,0.398526854188747,0.5206300803891742,0.9798421692271752,26.61667489890693,52.26662696411579,0.9636561618385647,0.021756713444067086,0.04346226025165949,0.9601438899776102
76,2025-05-29 01:30:00,2025-08-23 03:10:00,2025-08-23 03:20:00,2025-08-24 03:10:00,12384,144,0.39056544752137057,0.47494963427028086,0.9860792264161755,21.50192224037619,42.53750254367271,0.9762503596134583,0.02023241065883335,0.03690918333299429,0.973971452902457
77,2025-05-29 01:30:00,2025-08-24 03:10:00,2025-08-24 03:20:00,2025-08-25 03:10:00,12528,144,0.34732950097154264,0.4257455408804049,0.9860057136555405,20.888353789891102,48.46918490266187,0.9687675229209941,0.01504627001546097,0.03686146898876559,0.9732683855914002
78,2025-05-29 01:30:00,2025-08-25 03:10:00,2025-08-25 03:20:00,2025-08-26 03:10:00,12672,144,0.3901915707413589,0.4566344518415074,0.9806724327144719,21.860336805450913,40.08249310990728,0.9782067498567286,0.01912609214711092,0.0352702084413635,0.9750781431754727
79,2025-05-29 01:30:00,2025-08-26 03:10:00,2025-08-26 03:20:00,2025-08-27 03:10:00,12816,144,0.5617516637991099,0.8357839622365837,0.9134650254015918,38.32043804860439,70.60863988517954,0.9270553073325826,0.029126762263580727,0.05350902695079608,0.9358542047255647
80,2025-05-29 01:30:00,2025-08-27 03:10:00,2025-08-27 03:20:00,2025-08-28 12:30:00,12960,144,0.7467141356998419,0.9795118255538076,0.854878706073577,48.12117902669107,101.12175216232467,0.695046992069478,0.042321583800042056,0.08978874007153324,0.6519940362811927
81,2025-05-29 01:30:00,2025-08-28 12:30:00,2025-08-28 12:40:00,2025-08-29 12:30:00,13104,144,0.6316490903015742,0.7994300450030017,0.9625450844868688,52.42669736288958,104.8375408398813,0.8464602258452494,0.060587901298325364,0.0920910729555524,0.8279919667076526
82,2025-05-29 01:30:00,2025-08-29 12:30:00,2025-08-29 12:40:00,2025-08-30 12:30:00,13248,144,0.5619709874457436,0.7093210090215962,0.976362004920425,19.83861500328192,38.00527397927028,0.980561978955644,0.01786515210350614,0.03409393129329258,0.9765608780217423
83,2025-05-29 01:30:00,2025-08-30 12:30:00,2025-08-30 12:40:00,2025-08-31 12:30:00,13392,144,0.44006065046051535,0.5487316650121128,0.9822609520611592,19.19396444737736,40.07213872899389,0.9777375647090862,0.01459030191826674,0.02739671345334546,0.9835758611126538
84,2025-05-29 01:30:00,2025-08-31 12:30:00,2025-08-31 12:40:00,2025-09-01 12:30:00,13536,144,0.5316142799163805,0.611531514469678,0.978873118396608,17.67307008819943,36.80189260126576,0.9814323783895168,0.014060598938319494,0.026196567333184404,0.9844403691107981
85,2025-05-29 01:30:00,2025-09-01 12:30:00,2025-09-01 12:40:00,2025-09-02 12:30:00,13680,144,0.3337441756785482,0.43408283862256053,0.9840577081186925,27.884135339329305,56.81803484784744,0.9521386944784653,0.019104576207837502,0.03812131476246102,0.964840346827755
86,2025-05-29 01:30:00,2025-09-02 12:30:00,2025-09-02 12:40:00,2025-09-03 12:30:00,13824,144,0.3572336956771095,0.44141715934508763,0.9815245668591304,32.17071322483493,67.25443680201091,0.9291880564333503,0.021754790689851325,0.04676243192196196,0.9443319767708719
87,2025-05-29 01:30:00,2025-09-03 12:30:00,2025-09-03 12:40:00,2025-09-04 12:30:00,13968,144,0.37263297427440845,0.49596217316776925,0.9815716464489235,36.79201552877708,74.08311060580785,0.9132840349511234,0.029500488129548627,0.05899461149407569,0.9105490172108709
